strain	accession	date	country
GQ902835_Thailand_2009_06_18	GQ902835	2009-06-18	Thailand
GQ902803_Thailand_2009_06_16	GQ902803	2009-06-16	Thailand
GU183801_Thailand_2009_07_10	GU183801	2009-07-10	Thailand
CY063832_Singapore_2010_02_02	CY063832	2010-02-02	Singapore
GU271952_Thailand_2009_06_22	GU271952	2009-06-22	Thailand
KJ909524_India_2009_09_14	KJ909524	2009-09-14	India
CY128077_VietNam_2009_07_24	CY128077	2009-07-24	Viet Nam
CY128093_VietNam_2009_07_25	CY128093	2009-07-25	Viet Nam
CY128429_VietNam_2009_12_02	CY128429	2009-12-02	Viet Nam
CY118259_Malaysia_2009_09_10	CY118259	2009-09-10	Malaysia
CY128066_VietNam_2009_09_01	CY128066	2009-09-01	Viet Nam
JN676131_Thailand_2009_10_06	JN676131	2009-10-06	Thailand
HQ256609_Myanmar_2009_06_27	HQ256609	2009-06-27	Myanmar
HQ256613_Myanmar_2009_07_04	HQ256613	2009-07-04	Myanmar
HQ256625_Myanmar_2009_08_13	HQ256625	2009-08-13	Myanmar
HQ256643_Myanmar_2009_08_11	HQ256643	2009-08-11	Myanmar
GQ896361_USA_2009_05_18	GQ896361	2009-05-18	USA
GQ896367_USA_2009_05_22	GQ896367	2009-05-22	USA
KP637792_Thailand_2009_07_02	KP637792	2009-07-02	Thailand
KP637536_Thailand_2009_07_29	KP637536	2009-07-29	Thailand
CY087300_HongKong_2009_06_19	CY087300	2009-06-19	Hong Kong
HM072404_Taiwan_2009_09_04	HM072404	2009-09-04	Taiwan
HM072405_Taiwan_2009_09_04	HM072405	2009-09-04	Taiwan
HM072406_Taiwan_2009_10_15	HM072406	2009-10-15	Taiwan
AB537490_Japan_2009_10_27	AB537490	2009-10-27	Japan
GU571156_USA_2009_11_23	GU571156	2009-11-23	USA
CY082965_Thailand_2010_08_31	CY082965	2010-08-31	Thailand
GU571155_USA_2009_11_05	GU571155	2009-11-05	USA
GU571153_USA_2009_11_24	GU571153	2009-11-24	USA
GU014807_Japan_2009_07_18	GU014807	2009-07-18	Japan
KM013715_Thailand_2010_08_08	KM013715	2010-08-08	Thailand
KM013716_Thailand_2010_08_14	KM013716	2010-08-14	Thailand
KM013720_Thailand_2009_07_30	KM013720	2009-07-30	Thailand
GU931685_Singapore_2009_05_	GU931685	2009-05-XX	Singapore
HM598322_Thailand_2010_01_04	HM598322	2010-01-04	Thailand
CY064253_China_2009_08_	CY064253	2009-08-XX	China
CY064292_China_2009_04_	CY064292	2009-04-XX	China
CY064328_China_2009_04_	CY064328	2009-04-XX	China
CY064331_China_2009_04_	CY064331	2009-04-XX	China
CY064334_China_2009_04_	CY064334	2009-04-XX	China
CY064361_China_2009_05_	CY064361	2009-05-XX	China
HQ286422_Japan_2010_01_18	HQ286422	2010-01-18	Japan
HQ286423_Japan_2010_01_18	HQ286423	2010-01-18	Japan
HQ286429_Japan_2010_01_18	HQ286429	2010-01-18	Japan
CY060467_SouthKorea_2009_11_22	CY060467	2009-11-22	South Korea
CY060494_SouthKorea_2009_12_15	CY060494	2009-12-15	South Korea
CY060453_SouthKorea_2010_01_	CY060453	2010-01-XX	South Korea
CY060497_SouthKorea_2009_12_16	CY060497	2009-12-16	South Korea
CY060488_SouthKorea_2009_12_09	CY060488	2009-12-09	South Korea